Lars2,Malat1,mature
4.38,7.66,0
5.45,7.62,0
4.88,7.65,0
6.05,7.49,0
6.47,6.56,0
6.09,8.26,0
5.58,7.53,0
5.36,7.03,0
5.61,6.64,0
6.39,7.13,0
6.1,8.16,0
5.91,5.92,0
3.78,5.82,0
3.44,6.59,0
5.81,6.26,0
5.45,6.89,0
6.37,5.43,0
5.57,8.14,0
5.28,6.22,0
5.1,8.39,0
5.08,7.36,0
4.98,5.92,0
4.07,7.46,0
6.33,7.11,0
5.58,6.61,0
6.46,8.51,0
5.29,6.18,0
6.34,8.93,0
4.12,5.77,0
6.25,8.2,0
6.24,8.52,0
5.65,8.07,0
6.33,8.2,0
6.7,8.79,0
7.01,7.14,0
5.21,8.94,0
4.69,8.49,0
4.4,8.72,0
6.19,9.18,0
4.81,8.35,0
5.02,7.78,0
4.31,8.79,0
4.28,8.54,0
7.31,8.59,0
0,3.4,0
3.97,7.68,0
3.98,7.55,0
3.78,8.24,0
3.62,7.54,0
6.13,8.05,0
4.93,8.77,0
4.49,8.1,0
5.42,9.18,0
5.51,8.18,0
5.26,8.8,0
4.16,8.28,0
5.06,8.46,0
5.68,10.69,0
0,7.81,0
3.52,5.63,0
0,4.97,0
6.51,7.7,0
5.35,8.11,0
5.34,8.27,0
5.45,9.31,0
5,9.3,0
4.94,6.19,0
4.93,7.24,0
5.66,8.35,0
4.8,7.75,0
5.86,9.84,0
0,6.63,0
2.15,8.58,0
4.09,7.11,0
4.2,8.35,0
4.99,9.61,0
6.09,9.42,0
4.06,8.33,0
4.56,7.32,0
6.87,9.51,0
6.53,9.25,0
7.41,9.72,0
5.15,9.24,0
6.48,10.22,0
5.98,9.98,0
5.44,9.63,0
6.03,9.84,0
3.52,8.71,0
3.22,8.21,0
4.79,9.4,0
3.68,7.58,0
5.37,8.96,0
5.13,8.22,0
5.45,8.97,0
4.95,9.52,0
5.54,8.25,0
5.75,8.14,0
4.53,8.53,0
4.48,9.21,0
5.76,9.53,0
5.75,8.34,0
5.96,9.17,0
4.13,9.67,0
6.12,9.14,0
6.13,10.03,0
5.19,9.09,0
5.14,9.42,0
5.18,8.96,0
2.66,7.78,0
3.69,8.7,0
4.77,7.64,0
5.71,8.83,0
5.43,8.12,0
5.68,9.26,0
5.3,9.31,0
5.52,8.41,0
5.29,7.56,0
5.05,8.58,0
4.03,8.71,0
5.7,9.48,0
4.67,7.88,0
5.99,9.01,0
3.97,9.53,0
6.09,9.16,0
8.31,7.68,0
7.33,8.33,0
6.2,9.44,0
5.36,7.96,0
4.84,7.46,0
6.89,8.89,0
7.12,7.66,0
7.33,9.86,0
6.48,8.42,0
6.57,9.34,0
6.7,8.64,0
6.85,8.32,0
5.69,7.59,0
6.44,9.23,0
7.18,8.85,0
6.67,7.43,0
7.24,9.31,0
5.79,8.44,0
5.34,7.51,0
6.6,7.25,0
